Region,Status,Construction Amount,Federal Funding,State Funding,Local Funding,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,1114305.42,2019-10-02T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,6922952.57,2018-11-01T00:00:00.000,GREEN,YELLOW
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,5167035.87,2019-01-09T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,4634531,2020-10-02T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,No,Yes,No,1920965,2019-05-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,No,Yes,No,1940075,2020-05-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,No,No,No,12342102.38,2019-06-30T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,3656356.31,2020-08-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,659659,2019-12-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,No,Yes,No,3381699.11,2018-12-23T00:00:00.000,GREEN,RED
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,2895869.52,2019-12-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,No,Yes,No,5761341.82,2020-08-31T00:00:00.000,GREEN,RED
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,32158150.07,2019-12-18T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,3880450,2019-12-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,No,No,2888557.83,2019-05-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,7470064.81,2018-12-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,13152711.37,2020-07-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,Yes,2656155.91,2018-10-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,Yes,9086916.29,2018-10-31T00:00:00.000,GREEN,RED
01 CAPITAL DISTRICT,Under Construction,,No,Yes,No,11037102.91,2019-10-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,1659296.53,2018-10-02T00:00:00.000,GREEN,YELLOW
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,5524192.64,2019-10-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,27031054.75,2020-10-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,11335308.56,2019-11-15T00:00:00.000,GREEN,RED
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,2596586.25,2019-05-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,1920929,2020-05-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,No,Yes,Yes,10470082.6,2019-07-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,7947016.6,2020-10-31T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,Yes,Yes,No,1018957.31,2019-12-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,Under Construction,,No,Yes,No,955217.57,2019-05-01T00:00:00.000,GREEN,RED
01 CAPITAL DISTRICT,Under Construction,,No,Yes,No,822278.8,2021-05-01T00:00:00.000,GREEN,GREEN
01 CAPITAL DISTRICT,In Development,2800000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,2500000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,3000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,3000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,1000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,900000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,9000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,5500000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,5800000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,4400000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,2800000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,2200000,Yes,No,No,,,,
01 CAPITAL DISTRICT,In Development,9800000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,8000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,8200000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,4500000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,2000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,3500000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,3300000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,6500000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,4000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,3600000,No,Yes,No,,,,
01 CAPITAL DISTRICT,In Development,1200000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,1000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,4000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,4000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,4000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,430000,No,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,4500000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,1000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,1000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,2000000,Yes,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,2000000,No,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,2000000,No,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,2000000,No,Yes,No,,,,
01 CAPITAL DISTRICT,Future Development,2000000,No,Yes,No,,,,
