Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
181027,D263823,01 CAPITAL DISTRICT,"BIN 1033851, I-87 OVER UNDERPASS RD BRIDGE DECK REPLACEMENT","This project is a bridge deck replacement for the bridge carrying I-87 southbound over Underpass Road. BIN 1033851. Town of Chesterfield, Essex County.",Under Construction,,11/29/2018,,,,Yes,Yes,No,This project involves replacing bridge decks.,"This project will make repairs to the southbound bridge of Interstate 87 over Underpass Road. Town of Chesterfield, Essex County.",2019-02-20T00:00:00.000,1107400,6905.42,1114305.42,2019-10-02T00:00:00.000,GREEN,GREEN
180898,D263373,01 CAPITAL DISTRICT,BRIDGE CORRECTIVE MAINTENANCE SFY16 2ND PROJECT,"BRIDGE CORRECTIVE MAINTENANCE 16B, VARIOUS LOCATIONS",Under Construction,,1/26/2017,,,,Yes,Yes,No,This project involves minor bridge repairs.,"This project will repair various bridges throughout the eight counties in Region 1. These are Albany, Essex, Rensselaer, Warren and Washington.",2017-03-24T00:00:00.000,6394000,528952.57,6922952.57,2018-11-01T00:00:00.000,GREEN,YELLOW
180957,D263583,01 CAPITAL DISTRICT,BRIDGE CORRECTIVE MAINTENANCE SFY17,"BRIDGE CORRECTIVE MAINTENANCE SFY17 ON I87 OVER RT.9N, WESTPORT; I87 OVER RT.9, NORTH HUDSON; I87 OVER RT.74, SCHROON; DIAMOND PT. OVER I87, LAKE GEORGE; 9 OVER SCHROON RVR, LAKE GEORGE; JONES RD OVER I87, WILTON; 29 OVER FISH CREEK, SARATOGA.",Under Construction,,11/30/2017,,,,Yes,Yes,No,This project involves general bridge repairs.,This project will make repairs to the bridges at the following locations: Interstate 87 over State Route 9N; Interstate 87 over State Route 9; Interstate 87 over State Route 74; Diamond Point Road over Interstate 87; State Route 9 over the Schroon Riv,2018-03-12T00:00:00.000,5148770.42,18265.45,5167035.87,2019-01-09T00:00:00.000,GREEN,GREEN
180958,D263857,01 CAPITAL DISTRICT,BRIDGE PRESERVATION SFY19,"BRIDGE PRESERVATION SFY19, BIN 1033472 & 1033471 (Warren County)  BIN 1033430 (Saratoga County)  BIN 1073110 & 1073100 (Albany County)  BIN 1072860 (Albany County)  BIN 1073090 (Albany County)",Under Construction,,4/25/2019,,,,Yes,Yes,No,This project involves general bridge repairs.,"This project will address various needs on bridges in Region One during State Fiscal Year 18/19 which runs from April 1st, 2019 to March 31st, 2020. Counties of Albany, Saratoga, and Warren.  ",2019-05-29T00:00:00.000,4634531,0,4634531,2020-10-02T00:00:00.000,GREEN,GREEN
180955,D263691,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN AND WOC SFY17,BRIDGE WHERE AND WHEN AND WOC CONTRACT 17,Under Construction,,3/29/2018,,,,No,Yes,No,This project involves emergency bridge repairs.,"This project will provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.  ",2018-05-09T00:00:00.000,1920965,0,1920965,2019-05-31T00:00:00.000,GREEN,GREEN
180956,D263957,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN AND WOC SFY 26,BRIDGE WHERE AND WHEN AND WOC CONTRACT SFY 26,Under Construction,,4/11/2019,,,,No,Yes,No,This project involves emergency bridge repairs.,"Provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",2019-06-05T00:00:00.000,1940075,0,1940075,2020-05-31T00:00:00.000,GREEN,GREEN
1BOW0G,D263301,01 CAPITAL DISTRICT,"CBOW 25,27. TWO BRIDGES IN GREENE COUNTY","CBOW 25,27. TWO BRIDGES IN GREENE COUNTY, TOWN OF PRATTSVILLE",Under Construction,,2/16/2017,,,,No,No,No,This project involves replacing a bridge due to structural problems.,"This project will replace two bridges in the Town of Prattsville, Greene County. The bridges are State Route 23 over the Huntersfield Creek and State Route 23 over the Schoharie Creek.",2017-03-24T00:00:00.000,13000000.13,-657897.75,12342102.38,2019-06-30T00:00:00.000,GREEN,GREEN
181009,D263841,01 CAPITAL DISTRICT,CULVERT REPAIR OR REPLACEMENT SFY18,"CULVERT REPAIR/REPLACE SFY18 (was 1T0924) C110057 COEYMANS, C110164 WESTERLO, & C110106 NEW SCOTLAND: ALBANY CO. CA00302 PETERSBURGH: RENSSELAER CO.  C150117 HALFMOON & C150085 WILTON: SARATOGA CO. C180068 GRANVILLE & C180069 HARTFORD: WASHINGTON CO.",Under Construction,,12/13/2018,,,,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will replace or rehabilitate several large culverts under state routes in: Towns of Coeymans, Westerlo, and New Scotland, Albany County; Town of Petersburgh, Rensselaer County; Towns of Halfmoon and Wilton, Saratoga County; and Towns of Gr",2019-06-03T00:00:00.000,3656356.31,0,3656356.31,2020-08-01T00:00:00.000,GREEN,GREEN
181013,D263914,01 CAPITAL DISTRICT,GUIDERAIL REPLACE SFY19,"GUIDERAIL REPAIR/REPLACE  SFY19 (was 1T0848). RT 443 FROM RM 443-1102-1140 to RM 443-1102-1193 IN THE Town of New Scotland, Albany County.",Under Construction,,3/14/2019,,,,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"Provide for repairs to guiderail along New York State Route 443 from Stove Pipe Road to Meads Lane. Town of New Scotland, Albany County.",2019-04-03T00:00:00.000,659659,0,659659,2019-12-01T00:00:00.000,GREEN,GREEN
180969,D263277,01 CAPITAL DISTRICT,HIGHWAY W.O.C. SFY16,HIGHWAY WOC 16,Under Construction,,11/3/2016,,,,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,This project will conduct preventative maintenance and/or repair pavement to improve conditions at various locations in Region One.,2017-03-13T00:00:00.000,2836000,545699.11,3381699.11,2018-12-23T00:00:00.000,GREEN,RED
